Municipality,August,September,October,November,December,"January, 2019"
Tigaon,243.94,318.49,474.29,418.63,446.34,225.27
Tinambac,213.15,269.89,481.29,450.91,490.76,232.04
Camiguin,185.67,123.16,240.09,250.12,343.5,367.24
Catarman,175.74,117.75,232.45,251.77,342.08,362.93
Guinsiliban,188.62,125.62,240.84,253.62,346.32,357.95
Mahinog,195.52,125.09,249.53,257.97,363.25,380.41
Mambajao,196.91,110.26,255.86,258.09,375.09,402.91
Sagay,172.51,146,219.58,227.26,282.02,320.02
Capiz,342.25,320.95,334.92,278.96,232.65,127.87
Cuartero,294.87,290.59,303.35,263.5,215.59,126.56
Dao,295.21,297.92,296.69,258.12,210.22,123.9
Dumalag,308.53,323.77,287.04,275.71,230.76,122.36
Dumarao,270.72,278.28,287.79,263.41,221.77,123.72
Ivisan,301.98,276.55,352.14,257.87,221.88,109.56
Jamindan,432.44,387.85,354.76,310.6,259.33,124.9
Ma-Ayon,314.24,287.78,335.51,254.92,211.58,136.81
Mambusao,315.44,316.89,334.09,276.35,226.6,122.83
Panay,276.73,258.36,343.14,278.7,232.74,134.27
Panitan,303.63,280.94,329.11,241.76,199.92,122.95
Pilar,344,308.13,392.02,327.32,289.21,185.66
Pontevedra,309.89,282.59,351.48,282.25,238.38,145.06
President Roxas,352.9,309.69,388.18,326.18,289.42,181.56
Roxas City,281.32,250.86,343.33,239.09,202.43,107.33
Sapi-An,307.98,300.93,350.31,285.69,237.44,123.72
Sigma,308.48,302.98,320.34,252.6,207.36,118.47
Tapaz,458.36,421.34,327.75,282.59,224.45,104.81
Catanduanes,211.09,279.09,537.04,468.38,495.33,320.28
Bagamanoc,199.34,225.55,511.86,502.37,503.21,302.14
Baras,223.95,358.62,596.09,438.51,487.95,391.57
Bato,227.32,397.74,651.51,441.26,495.44,411.02
Caramoran,208.72,244.23,528.89,501.14,509.02,303.75
Gigmoto,223.39,311.45,582.41,459.59,505.29,359.23
Pandan,168.91,192.92,450.22,461.11,482.46,275.37
Panganiban,200.95,237.56,513.32,490.52,492.31,312.86
San Andres,207.99,283.94,497.33,459.17,478.32,284.67
San Miguel,242.84,346.58,617.77,458.51,501.64,364.3
Viga,212.79,267.16,541.63,476.57,503.39,326.47
Virac,215.75,299.82,504.14,431.81,482.72,281.96
Cavite,461.42,406.87,207.3,122.21,82.16,16.2
Alfonso,455.91,396.53,207.33,142.64,91.75,22.7
Amadeo,429.6,406.13,205.1,172.2,113.47,30.75
Bacoor,413.52,381.76,215.08,130.72,66.85,10.74
Carmona,396.83,404.14,251.35,162.85,131.44,30.96
Cavite City,417.54,372.42,159.28,82.54,27.48,5.89
Dasmariñas,421.31,413.87,220.76,78.44,82.98,21.32
General Emilio Aguinaldo,502.05,423.98,199.74,127.6,71.01,12.33
General Mariano Alvarez,412.19,411.76,236.54,141.07,114.96,27.18
General Trias,445.59,411.68,201.4,86.49,81.42,14.83
Imus,432.18,387.76,203.15,84.2,49.22,8.85
Indang,451.47,408.74,200.95,159.72,103.56,23.74
Kawit,431.14,386.46,182.34,83.52,19.04,4.38
Magallanes,525.6,436.45,203.05,122.98,73.92,10.67
Maragondon,548.44,427.72,198.41,121.87,68.61,6.37
Mendez,438.31,393.61,202.76,160.24,107.3,27.54
Naic,508.76,420.83,188.27,111.05,70.64,7.43
Noveleta,431.75,386.81,181.61,82.25,17.48,4.34
Rosario,477.42,385.57,175.54,32.89,22.83,2.97
Silang,406.69,402.34,231.76,154.75,124.46,32.7
Tagaytay City,392.97,363.05,253.43,172.92,121.87,28.86
Tanza,491.58,403.72,182.46,82.75,60.08,4.74
Ternate,586.07,440.92,207.12,117.92,66.68,4.94
Trece Martires City,464.19,422.61,197.88,108.33,81.79,13.76
Cebu,189.75,188.59,216.67,197.12,184.06,148.4
Alcantara,179.7,157.26,176.23,210.67,179.25,122.4
Alcoy,184.38,155.84,193.61,213.32,194.36,143.95
