Prov/Muni,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019
Tigaon,370.87,405.43,186.83,125.81,116.69,93.94
Tinambac,373.73,405.62,189.98,125.99,117.71,95.51
Camiguin,249.59,342.48,365.35,184.9,169.13,68.29
Catarman,257.45,361.78,393.34,185.59,173.03,63.63
Guinsiliban,259.71,370.34,385.14,188.24,180.12,65.66
Mahinog,259.81,380.79,394.34,199.18,196.68,68.08
Mambajao,247.9,337.65,355.01,182.59,168.84,69.81
Sagay,224.7,270.6,304.41,174.6,135.03,75.01
Capiz,279.24,231,127.06,82.68,107.94,68.9
Cuartero,264.59,217.33,112.98,64.06,78.96,54.99
Dao,277.08,230,119.86,71.68,89.39,60.62
Dumalag,259.12,217.56,120.91,69.29,93.5,56.94
Dumarao,293.43,250.92,137.11,86.84,112.15,70.78
Ivisan,224.2,192.61,113.25,68.41,90.95,57.82
Jamindan,291.73,245.42,141.75,88.7,116,68.46
Ma-Ayon,316.58,274.37,170.64,97.43,140.99,66.18
Mambusao,303.11,251.25,122.78,85.4,119.64,81.08
Panay,264.19,213.19,121.54,84.61,97.31,69.49
Panitan,257.54,217.66,141.9,85.96,113.37,60.3
Pilar,307.05,251.81,139.46,85.1,135.79,75.34
Pontevedra,283.38,230.24,120.31,88.28,106.98,82.03
President Roxas,267.17,219.12,125.04,87.16,97.18,71.32
Roxas City,283.01,222.25,116.04,77.51,113.77,73.91
Sapi-An,281.93,237.98,120.59,92.58,101.4,72.72
Sigma,262.24,212.36,124.81,84.6,100.93,62.09
Tapaz,266.07,212.15,105.46,77.94,100.72,72.47
Catanduanes,464.38,490.98,317.37,159.53,173.62,116.78
Bagamanoc,460.61,480.21,271.57,153.33,163.24,93.29
Baras,492.18,496.45,293.22,158.7,177.29,101.92
Bato,495.43,497.94,302.6,162.01,176.24,105.43
Caramoran,500.44,501.55,307.01,160.33,181.69,110.97
Gigmoto,483.64,508.55,316.48,164.55,184.95,114.74
Pandan,474.67,502.33,328.93,164.61,184.67,121.22
Panganiban,468.14,503.9,343.05,165.27,183.9,125.93
San Andres,469.87,506.21,349.01,163.23,183.47,126.45
San Miguel,453.79,494.39,344.66,161.65,176.83,127.19
Viga,445.15,493.3,349.75,157.89,167.21,128.65
Virac,383.76,421.75,262.77,145.48,133.93,114.26
Cavite,121.76,80.94,16.58,11.17,13.83,24.41
Alfonso,86.54,23.48,5.53,2.6,3.1,11.23
Amadeo,68.19,40.67,4.75,3.8,3.86,13.68
Bacoor,78.9,20.65,5.17,3.59,2.85,12.23
Carmona,97.61,56.79,10.38,7.54,5.36,16.41
Cavite City,57.99,54.97,5.11,5.76,3.96,15.42
Dasmarinas,84.42,67.11,12.44,8.4,7.2,17.31
