Prov/Muni,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019
Lagonoy,487.01,253.04,154.76,169.86,111.76,164.12
Libmanan,411.11,173.8,115.7,123.52,78.79,151.26
Lupi,544.94,234.37,157.08,185.15,106.39,158.86
Magarao,402.64,162.58,114.59,112.85,80.25,143.4
Milaor,313.85,124.64,93.33,85.87,76.63,153.56
Minalabac,315.69,128.45,91.72,84.89,80.98,175.73
Nabua,399.65,182.41,122.97,117.03,93.67,184.18
Naga City,401.91,156.07,104.86,113.49,85.63,164.73
Ocampo,379.52,190.55,125.01,134.03,98.53,183.31
Pamplona,384.77,157.35,110.93,107.37,80.52,151.55
Pasacao,362.69,153.61,102.82,104.93,77.54,165.2
Pili,318.94,131.01,95.06,91.65,82.7,168.24
Presentacion,485.33,269.15,163.94,182.31,118.05,183.53
Ragay,528.54,207.37,139.59,163.07,94.89,158.81
Sagnay,461.24,243.76,162.1,166.11,120.41,200.67
San Fernando,352.23,144.12,99.05,99.48,78.09,168.46
San Jose,457.72,249.92,171.64,165.91,115.03,167.8
Sipocot,488.4,212.03,139.82,159.32,93.86,148.84
Siruma,520.67,251.77,148.34,172.29,98.73,131.27
Tigaon,444.96,224.41,145.45,158.84,110.07,187.58
Tinambac,489.47,231.22,144.31,162.82,100.42,144.63
Camiguin,341.41,364.61,184.78,168.93,68.28,94.6
Catarman,340.01,360.22,176.05,161.08,63.29,88.81
Guinsiliban,344.23,355.42,185.28,171.74,74.44,93.96
Mahinog,361.13,377.82,194.29,180.86,74.76,96.34
Mambajao,372.99,400.21,193.86,185.93,64.28,96.71
Sagay,279.94,317.46,175.95,143.16,70.47,98.62
Capiz,230.41,126.35,82.62,107.87,68.75,202.6
Cuartero,213.31,124.53,85.68,99.31,66.84,192.53
Dao,208,121.99,83.98,94.99,68.56,186.67
Dumalag,228.51,120.51,90.14,101.71,75.56,214.83
Dumarao,219.46,121.64,89.36,96.21,62.34,200.79
Ivisan,219.66,108.36,64.29,87.72,58.05,162.52
Jamindan,257.1,123.8,85.29,123.89,82.78,233.24
